trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
199,False,"{'a': 0.5, 'e': 0.019063114291611637}",20,9,20.29107158192819,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.018685639337732773}",20,2,27.0665854047446,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,11,15.842288194371044,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.01795296493950285}",25,0,29.00498332026125,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
203,False,"{'a': 0.5, 'e': 0.017597472415623393}",25,0,40.07930085662937,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.5, 'e': 0.017249019115346265}",20,16,6.153946625549434,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.01690746565270528}",25,12,23.955387789225487,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.016572675401761255}",20,0,29.352638202754207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.01624451444194987}",20,12,14.837236740338433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.015922851504511698}",30,7,29.30146789852065,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.01560755791998283}",25,0,33.21392625409032,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.015298507566725518}",20,3,27.220217178095684,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.014995576820477703}",20,11,16.646010851342098,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.014698644504901784}",25,11,26.037072284947648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.01440759184311235}",20,12,13.581090929857586,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.014122302410163962}",20,2,21.4795199611195,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.013842662086479501}",25,0,33.34106200902043,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.013568559012200934}",35,3,32.045788534194244,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.013299883542443767}",20,1,28.263331477136468,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.013036528203437736}",25,17,15.221034798712127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.01277838764953576}",25,11,21.91577216245628,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.012525358621074385}",20,4,25.677157901059335,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.012277339903068436}",25,0,34.3902921298097,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.012034232284723775}",20,9,16.09795077650425,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.011795938519751562}",20,14,10.403614902404586,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.011562363287468536}",20,11,20.13445406050824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.011333413154667387}",25,14,18.20855787939093,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,13,11.82758149513209,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.01088902366855444}",20,10,13.072312099550446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.010673406553522925}",20,5,24.71660547962246,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.010462058943426795}",20,13,11.424795161612687,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.010254896296404022}",20,6,23.850874779395888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.010051835744633576}",25,15,18.94865553552108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.009852796061187257}",20,14,9.3414033154316,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.009657697627537777}",30,12,28.54209145591151,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.009466462401710323}",30,20,18.220925588472777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.009279013887064744}",20,0,21.653715369677233,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.009095277101695816}",20,6,26.765755729957185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.008915178548439553}",20,0,30.237438221468324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
238,False,"{'a': 0.5, 'e': 0.00873864618547329}",25,14,9.016130689217958,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.00856560939749806}",30,13,28.34639368629735,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.00839599896749147}",35,11,35.4772886023688,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.00822974704902003}",20,7,19.51936439609434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.008066787139099614}",30,23,11.73609077086974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.007907054051593441}",20,13,11.381031943565329,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.007750483891136692}",20,4,17.623360069825708,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.007597014027577567}",25,7,27.278000865001918,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.007446583070924338}",25,0,36.29876987105715,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.007299130846788583}",20,6,21.49102752208992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.007154598372314579}",20,13,14.778225716582014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.007012927832585425}",35,19,26.524620561907163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.006874062557496248}",20,6,13.323152991638828,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,9,16.59829318757409,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.006604526709314805}",20,10,18.67772030941351,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.006473748318289405}",20,12,12.1388814984112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.00634555951290911}",20,14,-13.57357665075227,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.006219909015942573}",30,14,-5.465774454219619,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.006096746565515633}",30,20,16.699491608717967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.005976022895005943}",25,0,-45.24899343658631,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
258,False,"{'a': 0.5, 'e': 0.0058576897133356225}",25,10,26.862478898983266,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.005741699685654202}",20,1,22.564637004824384,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.005628006414404065}",25,8,29.904948909487487,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.0055165644207607716}",30,10,34.331826893309575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.00540732912644096}",25,15,19.658567974953353,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.005300256835870402}",20,0,16.984822418651973,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
